t'Distributor' Guidance Disruptor Blueprint*	0	0	3	0	B6-XE8 - RC Ammunition -R	Bp Copy Faction	Помехопостановщики наводке орудий*
'Harness' Medium Capacitor Booster I Blueprint*	0	0	3	0	B6-XE8 - RC Ammunition -R	Bp Copy Faction	Система подкачки конденсатора*
'Heist' Radar ECM Blueprint*	0	0	3	0	B6-XE8 - RC Ammunition -R	Bp Copy Faction	Генератор помех системам сопровождения целей*
'Integrated' Acolyte Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Acolyte Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Acolyte Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	120	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	120	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	120	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
'Integrated' Berserker Blueprint*	0	0	60	0	B6-XE8 - RC Advanced -R	Small Standard Container*	Боевой дрон*
